Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
201307184,La Cité des marches (Les Cités divines #1),Robert Jackson Bennett,"Bennett, Robert Jackson",,"=""222647062X""","=""9782226470621""",3,4.10,Albin Michel,Hardcover,552,2024,2014,2024/10/13,2024/10/07,,,read,,,,1,0
204484769,Les Sept Divinités du bonheur,Keigo Higashino,"Higashino, Keigo",Sophie Refle,"=""2330191375""","=""9782330191375""",4,3.92,ACTES SUD,,304,2024,2011,2024/09/02,2024/09/02,,,read,,,,1,0
58132544,"A River Enchanted (Elements of Cadence, #1)",Rebecca   Ross,"Ross, Rebecca",,"=""0063055988""","=""9780063055988""",0,4.07,Harper Voyager,Hardcover,480,2022,2022,,2024/09/30,to-read,to-read (#66),to-read,,,,0,0
211786572,Célèbre,Maud Ventura,"Ventura, Maud",,"=""2378804504""","=""9782378804503""",0,3.75,Iconoclaste,Paperback,541,2024,2024,,2024/09/23,to-read,to-read (#65),to-read,,,,0,0
23588339,"Légende (Drenai Saga, #1)",David Gemmell,"Gemmell, David",,"=""2811213112""","=""9782811213114""",3,4.26,Milady,Paperback,480,2014,1984,2024/09/21,2024/09/21,,,read,,,,1,0
53423282,Falloujah,Feurat Alani,"Alani, Feurat",,"=""2365694306""","=""9782365694308""",4,4.40,Les escales éditions,Paperback,120,2020,,2024/04/09,2024/04/09,,,read,,,,1,0
122032,Le Pingouin,Andrey Kurkov,"Kurkov, Andrey","Nathalie Amargier, Andreï Kourkov","=""2020477815""","=""9782020477819""",4,3.78,Points,Mass Market Paperback,274,2004,1996,,2013/04/11,,,read,,,,1,0
27271505,"La voie du sabre (Griffe Blanche, #3)",Serge Le Tendre,"Tendre, Serge Le",Olivier TaDuc,"=""2205074083""","=""9782205074086""",3,3.29,Dargaud,Hardcover,48,2015,2015,2024/09/02,2024/09/02,,,read,,,,1,0
27271494,"La révolte du peuple singe (Griffe Blanche, #2)",Serge Le Tendre,"Tendre, Serge Le",Olivier TaDuc,"=""2205071289""","=""9782205071283""",3,3.32,Dargaud,Hardcover,48,2014,2014,2024/09/02,2024/09/02,,,read,,,,1,0
29073716,"L'oeuf du dragon roi (Griffe Blanche, #1)",Serge Le Tendre,"Tendre, Serge Le",Olivier TaDuc,"=""2205069179""","=""9782205069174""",3,2.82,Dargaud,Hardcover,48,2013,2013,2024/08/21,2024/08/21,,,read,,,,1,0
60139102,À bord de l'Étoile Matutine,Riff Reb's,"Reb's, Riff",,"=""2302009215""","=""9782302009219""",0,4.00,SOLEIL,Paperback,120,2009,,2024/08/19,2024/08/19,,,read,,,,1,0
125310389,Animan,Anouk Ricard,"Ricard, Anouk",,"=""2492926079""","=""9782492926075""",4,4.16,SUPEREXEMPLAIRE,Hardcover,80,2022,2022,2024/08/18,2024/08/18,,,read,,,,1,0
22381908,"L'assassin qu'elle mérite, Tome 1 : Art Nouveau",Wilfrid Lupano,"Lupano, Wilfrid",Yannick Corboz,"=""2749305551""","=""9782749305554""",3,3.33,Vents d'Ouest,Hardcover,56,2010,2010,2024/08/18,2024/08/18,,,read,,,,1,0
36297438,La saga de Grimr,Jérémie Moreau,"Moreau, Jérémie",,"=""2756080640""","=""9782756080642""",5,4.16,Delcourt,Hardcover,232,2017,2017,2024/08/17,2024/08/17,,,read,,,,1,0
23566428,Les Hordes de la nuit (Les Forêts d'Opale #8),Christophe Arleston,"Arleston, Christophe","Philippe Pellet, Christian Goussale, Guy Mathias","=""2302031008""","=""9782302031005""",3,3.80,Soleil,Hardcover,44,2013,2013,2024/08/15,2024/08/15,,,read,,,,1,0
13506862,Les Dents de pierre (Les Forêts d'Opale #7),Christophe Arleston,"Arleston, Christophe",Philippe Pellet,"=""2302018702""","=""9782302018709""",3,3.84,Soleil Productions,Hardcover,46,2011,2011,2024/08/15,2024/08/15,,,read,,,,1,0
79496,"Le roi de la bagarre (Donjon Zénith, #2)",Joann Sfar,"Sfar, Joann",Lewis Trondheim,"=""2840552493""","=""9782840552499""",4,4.25,DELCOURT,Hardcover,48,2004,1998,2024/08/13,2024/08/13,,,read,,,,1,0
1626380,"Coeur de canard (Donjon Zénith,#1)",Joann Sfar,"Sfar, Joann",Lewis Trondheim,"=""2840551977""","=""9782840551973""",4,4.21,Delcourt,Hardcover,48,2004,1998,2024/08/13,2024/08/13,,,read,,,,1,0
6769542,"Le Sortilège du Pontife (Les forêts d'Opale, #6)",Christophe Arleston,"Arleston, Christophe","Philippe Pellet, Christian Goussale","=""2302005562""","=""9782302005563""",4,3.81,Soleil,Hardcover,49,2009,2009,2024/08/13,2024/08/13,,,read,,,,1,0
2109778,Onze racines (Les forêts d'Opale #5),Christophe Arleston,"Arleston, Christophe",Philippe Pellet,"=""2849466441""","=""9782849466445""",3,3.87,Soleil Productions,Hardcover,47,2007,2007,2024/08/13,2024/08/13,,,read,,,,1,0
2777406,Les geôles de Nénuphe (Les forêts d'Opale #4),Christophe Arleston,"Arleston, Christophe","Philippe Pellet, Christian Goussale","=""2845658982""","=""9782845658981""",3,3.84,Soleil,Hardcover,48,2005,2005,2024/08/13,2024/08/13,,,read,,,,1,0
2777548,La Cicatrice verte (Les Forêts d'Opale #3),Christophe Arleston,"Arleston, Christophe",Philippe Pellet,"=""2845653832""","=""9782845653832""",3,3.82,Soleil,Hardcover,50,2003,2003,2024/08/13,2024/08/13,,,read,,,,1,0
2777393,L'Envers du grimoire (Les Forêts d'Opale #2),Christophe Arleston,"Arleston, Christophe",Philippe Pellet,"=""2845651341""","=""9782845651340""",3,3.81,Soleil,Hardcover,47,2001,2002,2024/08/13,2024/08/13,,,read,,,,1,0
208557662,Huit millions de dieux,David B. Gil,"Gil, David B.",Judith Vernant,"=""2265157465""","=""9782265157460""",0,4.26,FLEUVE EDITIONS,Paperback,608,2024,2019,,2024/08/13,currently-reading,currently-reading (#7),currently-reading,,,,1,0
58912923,"Rythme de guerre 2 (Les Archives de Roshar, #4.2)",Brandon Sanderson,"Sanderson, Brandon",,"=""2253242233""","=""9782253242239""",4,4.65,Livre de poche,Paperback,832,2021,2021,2024/07/31,2024/08/13,,,read,,,,1,0
18629063,La Brigade Chimérique,Serge Lehman,"Lehman, Serge","Fabrice Colin, Gess, Céline Bessonneau","=""2841726185""","=""9782841726189""",0,3.79,L'Atalante,Hardcover,321,2012,2009,,2020/09/17,to-read,to-read (#21),to-read,,,,0,0
